model,feature,importance
Logistic regression,max_gap_len,0.812216334874728
Logistic regression,p95_daily_kwh,0.7007910675767725
Logistic regression,active_day_rate,0.657856132734979
Logistic regression,active_rate_weekday,0.6506350669627803
Logistic regression,winter_minus_summer,0.6495696133338686
Logistic regression,r_winter,0.6224995792757697
Logistic regression,active_rate_weekend,0.619838585640158
Logistic regression,r_summer,0.6009846244965992
Logistic regression,mean_kwh_weekday,0.598692519476774
Logistic regression,mean_daily_kwh,0.5861803103533693
Logistic regression,mean_kwh_weekend,0.5492234087857861
Logistic regression,mean_gap_len,0.2164544859399064
Logistic regression,r_mid,0.18866921725324762
Logistic regression,max_run_len,0.18616269378259712
Logistic regression,n_runs,0.16377458865985095
Logistic regression,seasonality_amp,0.09592532308410998
Logistic regression,cv_daily_kwh,0.0717854327823637
Logistic regression,mean_run_len,0.032305590399601444
Logistic regression,r_global,0.0
Random forest,mean_daily_kwh,0.1801421129303524
Random forest,mean_kwh_weekend,0.15206193533695767
Random forest,mean_kwh_weekday,0.12477318787804301
Random forest,active_day_rate,0.12016430451195703
Random forest,active_rate_weekend,0.08328375191420272
Random forest,active_rate_weekday,0.08269675434125914
Random forest,p95_daily_kwh,0.06397051331805081
Random forest,max_gap_len,0.04242428572488732
Random forest,winter_minus_summer,0.038263694223713667
Random forest,r_summer,0.03301837644899194
Random forest,r_winter,0.028143232349210123
Random forest,cv_daily_kwh,0.013188511561749126
Random forest,mean_gap_len,0.01172277412321002
Random forest,mean_run_len,0.007891744655912726
Random forest,max_run_len,0.007542341749066974
Random forest,r_mid,0.005884248121335827
Random forest,seasonality_amp,0.0026104955070673716
Random forest,n_runs,0.0022177353040321213
Random forest,r_global,0.0
